"LANG","ITEM","skflavor","suflavor","nsflavor","npiflavor","fciflavor","nqflavor","Haspelmath","type"
"fl7","fl7-4",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl8","fl8-1",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl8","fl8-2",0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl8","fl8-3",1,1,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl8","fl8-4",0,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl8","fl8-5",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl8","fl8-6",1,1,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl8","fl8-7",0,0,0,1,1,1,"Haspel-ok","Haspel-ok"
"fl9","fl9-1",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl9","fl9-2",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl9","fl9-3",0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl9","fl9-4",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl9","fl9-5",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl9","fl9-6",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl10","fl10-1",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl10","fl10-2",0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"fl10","fl10-3",0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl11","fl11-1",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl11","fl11-2",0,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"fl11","fl11-3",0,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl11","fl11-4",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl12","fl12-1",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl12","fl12-2",0,1,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl12","fl12-3",0,1,1,0,1,1,"Haspel-ok","Haspel-ok"
"fl13","fl13-1",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl14","fl14-1",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl14","fl14-2",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl14","fl14-3",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl14","fl14-4",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl15","fl15-1",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl16","fl16-1",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl16","fl16-2",1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl16","fl16-3",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl16","fl16-4",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl16","fl16-5",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl17","fl17-1",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl17","fl17-2",0,1,1,0,1,1,"Haspel-ok","Haspel-ok"
"fl17","fl17-3",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl17","fl17-4",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl17","fl17-5",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl17","fl17-6",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl18","fl18-1",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl19","fl19-1",0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl19","fl19-2",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl20","fl20-1",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl20","fl20-2",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl20","fl20-3",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl20","fl20-4",0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"fl20","fl20-5",0,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl20","fl20-6",0,0,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl20","fl20-7",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl21","fl21-1",1,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"fl21","fl21-2",1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl22","fl22-1",0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"fl22","fl22-2",1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl22","fl22-3",0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl22","fl22-4",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl23","fl23-1",0,1,1,0,1,0,"Haspel-ok","Haspel-ok"
"fl23","fl23-2",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl23","fl23-3",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl23","fl23-4",0,0,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl23","fl23-5",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl23","fl23-6",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl24","fl24-1",0,0,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl24","fl24-2",1,0,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl24","fl24-3",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl24","fl24-4",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl25","fl25-1",1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl25","fl25-2",0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl25","fl25-3",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl26","fl26-1",0,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl26","fl26-2",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl26","fl26-3",0,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl26","fl26-4",0,1,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl27","fl27-1",0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"fl27","fl27-2",0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"fl27","fl27-3",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl27","fl27-4",0,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl28","fl28-1",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl28","fl28-2",0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl28","fl28-3",1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl28","fl28-4",0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl29","fl29-1",1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl29","fl29-2",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl30","fl30-1",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl30","fl30-2",0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl30","fl30-3",1,1,0,0,0,0,"Haspel-ok","Haspel-ok"
"fl30","fl30-4",0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl31","fl31-1",1,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl32","fl32-1",0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl32","fl32-2",0,1,0,0,1,0,"Haspel-ok","Haspel-ok"
"fl32","fl32-3",0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"fl32","fl32-4",1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl33","fl33-1",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl33","fl33-2",0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"fl34","fl34-1",0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl34","fl34-2",1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl34","fl34-3",0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl34","fl34-4",0,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl34","fl34-5",0,1,1,0,1,0,"Haspel-ok","Haspel-ok"
"fl34","fl34-6",0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl34","fl34-7",0,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl35","fl35-1",0,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl35","fl35-2",0,0,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl35","fl35-3",0,0,0,1,1,1,"Haspel-ok","Haspel-ok"
"fl35","fl35-4",0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl35","fl35-5",0,1,1,0,1,1,"Haspel-ok","Haspel-ok"
"fl35","fl35-6",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl36","fl36-1",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl37","fl37-1",0,1,1,0,1,0,"Haspel-ok","Haspel-ok"
"fl37","fl37-2",0,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl37","fl37-3",0,0,1,0,1,0,"Haspel-ok","Haspel-ok"
"fl37","fl37-4",1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl37","fl37-5",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl37","fl37-6",0,0,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl37","fl37-7",1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl38","fl38-1",0,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl38","fl38-2",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl39","fl39-1",0,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl39","fl39-2",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl39","fl39-3",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl39","fl39-4",0,1,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl39","fl39-5",0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl39","fl39-6",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl39","fl39-7",0,0,0,1,1,1,"Haspel-ok","Haspel-ok"
"fl40","fl40-1",0,0,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl40","fl40-2",0,0,0,1,1,1,"Haspel-ok","Haspel-ok"
"fl40","fl40-3",0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl40","fl40-4",0,0,0,0,1,1,"Haspel-ok","Haspel-ok"
"fl40","fl40-5",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl41","fl41-1",1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl41","fl41-2",1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl41","fl41-3",1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl41","fl41-4",1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl41","fl41-5",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl41","fl41-6",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl41","fl41-7",0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl42","fl42-1",0,0,0,0,1,1,"Haspel-ok","Haspel-ok"
"fl43","fl43-1",0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl44","fl44-1",1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl44","fl44-2",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl44","fl44-3",1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl44","fl44-4",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl44","fl44-5",1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl44","fl44-6",0,0,0,0,1,0,"Haspel-ok","Haspel-ok"
"fl45","fl45-1",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl45","fl45-2",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl45","fl45-3",1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl45","fl45-4",1,1,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl45","fl45-5",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl45","fl45-6",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl45","fl45-7",0,0,0,1,1,1,"Haspel-ok","Haspel-ok"
"fl46","fl46-1",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl46","fl46-2",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl46","fl46-3",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl46","fl46-4",0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl46","fl46-5",1,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl46","fl46-6",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl47","fl47-1",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl47","fl47-2",0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"fl47","fl47-3",0,1,0,0,1,1,"Haspel-ok","Haspel-ok"
"fl48","fl48-1",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl48","fl48-2",0,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl48","fl48-3",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl49","fl49-1",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl49","fl49-2",1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl49","fl49-3",1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl49","fl49-4",1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl49","fl49-5",1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl49","fl49-6",0,0,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl49","fl49-7",1,0,0,0,0,0,"Haspel-ok","Haspel-ok"
"fl50","fl50-1",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl50","fl50-2",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl50","fl50-3",0,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl50","fl50-4",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl51","fl51-1",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl51","fl51-2",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl51","fl51-3",0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl51","fl51-4",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl51","fl51-5",1,0,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl52","fl52-1",0,0,0,1,1,1,"Haspel-ok","Haspel-ok"
"fl52","fl52-2",0,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl52","fl52-3",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl52","fl52-4",0,1,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl52","fl52-5",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl52","fl52-6",0,1,1,0,1,0,"Haspel-ok","Haspel-ok"
"fl52","fl52-7",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl53","fl53-1",0,1,1,0,1,0,"Haspel-ok","Haspel-ok"
"fl54","fl54-1",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl54","fl54-2",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl54","fl54-3",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl55","fl55-1",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl55","fl55-2",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl55","fl55-3",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl55","fl55-4",0,0,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl55","fl55-5",0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl55","fl55-6",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl55","fl55-7",0,0,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl56","fl56-1",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl56","fl56-2",1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl56","fl56-3",0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl57","fl57-1",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl57","fl57-2",1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl57","fl57-3",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl57","fl57-4",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl57","fl57-5",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl57","fl57-6",1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl57","fl57-7",0,0,0,0,1,1,"Haspel-ok","Haspel-ok"
"fl58","fl58-1",0,0,0,1,1,1,"Haspel-ok","Haspel-ok"
"fl58","fl58-2",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl59","fl59-1",1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl60","fl60-1",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl60","fl60-2",0,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl60","fl60-3",0,0,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl60","fl60-4",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl61","fl61-1",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl61","fl61-2",0,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl61","fl61-3",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl61","fl61-4",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl61","fl61-5",0,0,0,1,1,1,"Haspel-ok","Haspel-ok"
"fl61","fl61-6",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl62","fl62-1",0,1,1,0,1,1,"Haspel-ok","Haspel-ok"
"fl63","fl63-1",0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl63","fl63-2",0,1,0,0,1,0,"Haspel-ok","Haspel-ok"
"fl63","fl63-3",0,0,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl63","fl63-4",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl63","fl63-5",0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl63","fl63-6",1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl64","fl64-1",1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl64","fl64-2",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl64","fl64-3",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl64","fl64-4",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl64","fl64-5",0,0,0,1,1,1,"Haspel-ok","Haspel-ok"
"fl64","fl64-6",1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl64","fl64-7",0,0,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl65","fl65-1",0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl66","fl66-1",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl66","fl66-2",0,1,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl66","fl66-3",1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl66","fl66-4",0,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl66","fl66-5",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl67","fl67-1",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl67","fl67-2",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl68","fl68-1",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl68","fl68-2",0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl68","fl68-3",1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl68","fl68-4",0,0,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl68","fl68-5",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl68","fl68-6",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl68","fl68-7",0,0,0,0,1,0,"Haspel-ok","Haspel-ok"
"fl69","fl69-1",0,1,1,0,1,0,"Haspel-ok","Haspel-ok"
"fl69","fl69-2",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl69","fl69-3",0,0,0,0,1,0,"Haspel-ok","Haspel-ok"
"fl69","fl69-4",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl69","fl69-5",0,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl69","fl69-6",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl69","fl69-7",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl70","fl70-1",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl70","fl70-2",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl71","fl71-1",1,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl71","fl71-2",0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"fl71","fl71-3",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl71","fl71-4",0,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl71","fl71-5",0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl71","fl71-6",1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl71","fl71-7",0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl72","fl72-1",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl73","fl73-1",0,0,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl73","fl73-2",0,1,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl73","fl73-3",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl73","fl73-4",0,1,1,0,1,0,"Haspel-ok","Haspel-ok"
"fl73","fl73-5",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl73","fl73-6",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl74","fl74-1",0,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl75","fl75-1",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl75","fl75-2",0,0,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl75","fl75-3",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl75","fl75-4",1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl75","fl75-5",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl75","fl75-6",0,1,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl76","fl76-1",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl76","fl76-2",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl76","fl76-3",0,1,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl76","fl76-4",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl76","fl76-5",0,0,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl76","fl76-6",0,0,1,0,1,1,"Haspel-ok","Haspel-ok"
"fl76","fl76-7",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl77","fl77-1",0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl78","fl78-1",0,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl79","fl79-1",0,0,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl79","fl79-2",0,0,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl79","fl79-3",0,0,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl80","fl80-1",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl80","fl80-2",0,0,0,1,1,1,"Haspel-ok","Haspel-ok"
"fl80","fl80-3",0,1,1,0,0,0,"Haspel-ok","Haspel-ok"
"fl80","fl80-4",0,1,1,1,1,1,"Haspel-ok","Haspel-ok"
"fl80","fl80-5",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl81","fl81-1",1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl81","fl81-2",0,0,0,1,1,0,"Haspel-ok","Haspel-ok"
"fl81","fl81-3",1,1,1,0,0,1,"Haspel-ok","Haspel-ok"
"fl81","fl81-4",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl82","fl82-1",0,1,0,0,1,1,"Haspel-ok","Haspel-ok"
"fl82","fl82-2",0,0,0,1,0,1,"Haspel-ok","Haspel-ok"
"fl82","fl82-3",0,1,1,1,0,0,"Haspel-ok","Haspel-ok"
"fl82","fl82-4",1,0,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl82","fl82-5",0,1,1,1,0,1,"Haspel-ok","Haspel-ok"
"fl82","fl82-6",1,1,0,1,0,0,"Haspel-ok","Haspel-ok"
"fl83","fl83-1",0,0,0,0,0,1,"Haspel-ok","Haspel-ok"
"fl83","fl83-2",0,1,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl83","fl83-3",0,0,1,1,1,0,"Haspel-ok","Haspel-ok"
"fl84","fl84-1",0,0,1,0,0,0,"Haspel-ok","Haspel-ok"
